Designator,Mid X,Mid Y,Rotation,Layer
C1,207.55,-99.6,270.0,top
C2,207.4,-96.35,180.0,top
C3,215.4,-90.875,90.0,top
C4,256.2,-89.4,180.0,top
C5,226.7,-98.6,0.0,top
C6,228.275,-95.95,270.0,top
C7,261.02,-97.66,0.0,top
COUT1,179.69,-96.85,90.0,top
D1,204.45,-97.675,270.0,top
D2,215.25,-88.075,180.0,top
IC1,221.162,-94.675,0.0,top
J1,265.945,-89.485,270.0,top
L1,245.8,-94.0,270.0,top
LED1,145.775,-90.35,90.0,top
LED2,152.775,-96.85,90.0,top
LED3,159.775,-90.35,90.0,top
LED4,167.275,-96.85,90.0,top
LED5,116.775,-90.35,90.0,top
LED6,125.275,-96.85,90.0,top
LED7,131.775,-90.35,90.0,top
LED8,138.775,-96.85,90.0,top
Q1,237.075,-93.66,270.0,top
Q2,254.775,-93.81,270.0,top
R1,197.69,-97.5675,270.0,top
R2,215.5,-99.4125,270.0,top
R3,201.15,-97.5475,270.0,top
R4,226.35,-95.95,270.0,top
R5,223.45,-88.2,0.0,top
RDL1,209.55,-99.425,270.0,top
RDL2,237.28,-89.34,270.0,top
RLED1,177.195,-97.44,270.0,top
RLED2,175.2375,-97.4375,270.0,top
RV1,228.55,-89.95,0.0,top
